nom,prenom,photo,structure
Fernandez,Sarah,Fernandez_Sarah.jpg,1S1
Henry,Clement,Henry_Clement.jpg,1S1
Lemoine,Tom,Lemoine_Tom.jpg,1S1
Bernard,Lucas,Bernard_Lucas.jpg,PSTI2D1
Martin,Chloe,Martin_Chloe.jpg,PSTI2D1
Petit,Emma,Petit_Emma.jpg,PSTI2D1
Richard,Lea,Richard_Lea.jpg,PSTI2D1
Robert,Jules,Robert_Jules.jpg,PSTI2D1
Carpentier,Tom,Carpentier_Tom.jpg,S05
Charvet,Lina,Charvet_Lina.jpg,S05
Boulard,Tom,Boulard_Tom.jpg,TS3
Clement,Yanis,Clement_Yanis.jpg,TS3
Delorme,Juliette,Delorme_Juliette.jpg,TS3
Marchand,Zoe,Marchand_Zoe.jpg,TS3
Perrault,Lou,Perrault_Lou.jpg,TS3
Perret,Nina,Perret_Nina.jpg,TS3
Garcia,Manon,Garcia_Manon.jpg,TSTI2D2
Lopez,Camille,Lopez_Camille.jpg,TSTI2D2
Moreau,Eliane,Moreau_Eliane.jpg,TSTI2D2
Perret,Sophie,Perret_Sophie.jpg,TSTI2D2
